,sepal width,petal length,petal width,class
14,4.0,1.2,0.2,Iris-setosa
98,2.5,3.0,1.1,Iris-versicolor
75,3.0,4.4,1.4,Iris-versicolor
16,3.9,1.3,0.4,Iris-setosa
131,3.8,6.4,2.0,Iris-virginica
56,3.3,4.7,1.6,Iris-versicolor
141,3.1,5.1,2.3,Iris-virginica
44,3.8,1.9,0.4,Iris-setosa
29,3.2,1.6,0.2,Iris-setosa
120,3.2,5.7,2.3,Iris-virginica
94,2.7,4.2,1.3,Iris-versicolor
5,3.9,1.7,0.4,Iris-setosa
102,3.0,5.9,2.1,Iris-virginica
51,3.2,4.5,1.5,Iris-versicolor
78,2.9,4.5,1.5,Iris-versicolor
42,3.2,1.3,0.2,Iris-setosa
92,2.6,4.0,1.2,Iris-versicolor
66,3.0,4.5,1.5,Iris-versicolor
31,3.4,1.5,0.4,Iris-setosa
35,3.2,1.2,0.2,Iris-setosa
90,2.6,4.4,1.2,Iris-versicolor
84,3.0,4.5,1.5,Iris-versicolor
77,3.0,5.0,1.7,Iris-versicolor
40,3.5,1.3,0.3,Iris-setosa
125,3.2,6.0,1.8,Iris-virginica
99,2.8,4.1,1.3,Iris-versicolor
33,4.2,1.4,0.2,Iris-setosa
19,3.8,1.5,0.3,Iris-setosa
73,2.8,4.7,1.2,Iris-versicolor
146,2.5,5.0,1.9,Iris-virginica
91,3.0,4.6,1.4,Iris-versicolor
135,3.0,6.1,2.3,Iris-virginica
69,2.5,3.9,1.1,Iris-versicolor
128,2.8,5.6,2.1,Iris-virginica
114,2.8,5.1,2.4,Iris-virginica
48,3.7,1.5,0.2,Iris-setosa
53,2.3,4.0,1.3,Iris-versicolor
28,3.4,1.4,0.2,Iris-setosa
